MCDA Merwedebrug Design Alternatives;;;;;;
Stakeholder;Criteria;Bored Tunnel;Immersed tube tunnel;New Merwedebrug;Cable stay bridge;Criteria_Weight
Rijkswaterstaat;Operational safety;0;50;100;80;0.26732673
Rijkswaterstaat;Construction safety;0;30;100;70;0.07425743
Rijkswaterstaat;Life-cycle costs;0;20;100;50;0.04950495
Rijkswaterstaat;Construction time;30;0;100;80;0.05940594
Rijkswaterstaat;Reliability / service;60;100;80;0;0.14851485
Rijkswaterstaat;Accessibility;20;0;100;60;0.07425743
Rijkswaterstaat;Economic impact;70;100;0;40;0.02970297
Rijkswaterstaat;Capacity;0;40;100;60;0.0990099
Rijkswaterstaat;Environmental impact;70;100;0;50;0.0990099
Rijkswaterstaat;Navigability;100;90;40;0;0.0990099
MIWM;Operational safety;80;100;60;0;0.11976048
MIWM;Life cycle costs;0;70;100;40;0.32335329
MIWM;Reliability / service;0;20;100;80;0.11976048
MIWM;Accessibility;0;40;100;60;0.08982036
MIWM;Economic impact;50;50;100;0;0.17964072
MIWM;Capacity;0;40;100;60;0.07185629
MIWM;Environmental impact;30;0;100;60;0.05988024
MIWM;Navigability;100;80;0;50;0.03592814
Municipalities;Operational safety;0;40;100;80;0.10445469
Municipalities;Construction time;0;10;100;60;0.07834101
Municipalities;Reliability / service;70;100;40;0;0.10445469
Municipalities;Accessibility;0;10;100;80;0.26420891
Municipalities;Construction nuisance;0;20;100;60;0.15668203
Municipalities;Economic impact;70;100;40;0;0.15668203
Municipalities;Environmental impact;100;50;30;0;0.10445469
Municipalities;Visible impact;100;80;0;40;0.03072197
Road users;Operational safety;0;30;60;100;0.18396226
Road users;Reliability / service;60;100;40;0;0.12264151
Road users;Accessibility;0;20;100;70;0.3254717
Road users;Construction nuisance;0;10;100;90;0.15566038
Road users;Economic impact;80;100;50;0;0.05660377
Road users;Capacity;0;50;100;70;0.15566038
Residents;Construction time;30;0;100;80;0.23076923
Residents;Accessibility;20;0;100;80;0.15384615
Residents;Construction nuisance;70;0;100;80;0.20512821
Residents;Environmental impact;100;0;70;20;0.05128205
Residents;Visual impact;100;100;0;0;0.35897436
Contractor;Construction safety;0;100;60;30;0.6875
Contractor;Construction time;0;30;100;70;0.125
Contractor;Economic impact;0;10;100;90;0.1875
Shipping sector;Operational safety;100;60;0;80;0.20408163
Shipping sector;Reliability / service;100;80;0;70;0.20408163
Shipping sector;Accessibility;100;70;0;80;0.10204082
Shipping sector;Economic impact;100;60;0;80;0.10204082
Shipping sector;Environmental impact;100;0;70;50;0.04081633
Shipping sector;Navigability;100;60;0;80;0.34693878
